"","glabella","suture","anterior","posterior"
"Agraulos_ceticephalus",148,257,269,190
"Asaphiscus_wheeleri",114,199,173,134
"Balcoracania_dailyi",237,314,338,595
"Bathynotus_kueichouensis",157,209,280,1077
"Bigotina_bivallata",217,349,375,315
"Bolaspidella_housensis",95,203,229,217
"Brachyaspidion_microps",115,212,266,173
"Burnetiella_leechi",143,303,292,329
"Catillicephala_shawi",415,417,450,278
"Cedaria_minor",101,221,191,295
"Cheilocephalus_brevilobus",242,309,343,218
"Choubertella_spinosa",228,466,449,245
"Coosella_kieri",258,475,412,365
"Corynexochus_plumula",452,392,475,261
"Daguinaspis_ambroggii",206,371,373,171
"Dikelocephalus_minnesotensis",305,712,560,1255
"Dinesus_ida",214,315,328,247
"Dolerolenus_zoppii",139,282,254,292
"Eccaparadoxides_pusillus",401,618,554,1058
"Ellipsocephalus_gripi",160,225,192,159
"Elliptocephala_asaphoides",178,338,284,457
"Elrathia_kingii",298,672,631,555
"Elvinia_roemeri",242,414,427,435
"Emuella_polymera",317,333,410,463
"Eoredlichia_intermediata",262,476,476,1750
"Estaingia_bilobata",219,409,403,615
"Eurekia_rintintini",332,564,641,406
"Fallotaspis_bondoni",327,608,597,1444
"Fuchouia_fecunda",217,394,380,381
"Guangxiaspis_guangxiensis",148,325,334,1170
"Hamatolenus_vincenti",230,402,394,722
"Haniwa_quadrata",210,433,343,626
"Hebediscina_longispinus",187,253,299,164
"Holmia_kjerulfi",449,650,557,789
"Hungaia_puelchana",209,480,491,436
"Iveria_iverensis",236,440,435,767
"Jakutus_primigenius",219,399,343,630
"Jiulongshania_longispina",246,403,532,874
"Judomia_tera",191,369,301,850
"Labiostria_westropi",262,478,415,643
"Lemdadella_antarcticae",317,586,635,1041
"Lisania_paibiensis",320,476,568,500
"Loganellus_logani",156,281,260,385
"Megapharanaspis_nedini",242,337,348,614
"Metadoxides_armatus",226,348,380,341
"Modocia_kohli",219,578,466,691
"Montezumaspis_parallela",199,388,401,689
"Myopsolenites_altus",296,468,506,789
"Neocobboldia_chinlinica",222,279,313,146
"Neodrepanura_premesnili",183,300,381,325
"Nephrolenellus_geniculatus",150,203,195,208
"Nevadia_weeksi",203,454,396,435
"Norwoodia_boninoi",109,431,525,553
"Olenellus_gilberti",260,487,408,685
"Olenoides_serratus",495,636,707,731
"Olenus_wahlenbergi",216,376,464,464
"Oryctocephalus_indicus",227,310,329,469
"Orygmaspis_billingsi",202,377,389,550
"Pagetia_ocellata",312,545,531,374
"Palaeadotes_hunanensis",147,246,228,470
"Papyriaspis_lanceola",161,343,335,343
"Parabadiella_huoi",421,858,1039,996
"Peachella_iddingsi",376,589,634,541
"Penarosa_netenta",140,474,396,1083
"Plethopeltis_armatus",177,245,287,167
"Protolenus_densigranulatus",210,257,267,502
"Pterocephalia_norfordi",169,458,456,598
"Ptychoparia_striata",323,754,656,959
"Redlichia_takooensis",295,469,514,876
"Sao_hirsuta",367,651,680,481
"Shergoldia_laevigata",248,532,490,648
"Strenuaeva_inflata",156,255,277,281
"Tasmacephalus_platypus",166,282,288,1010
"Tricrepicephalus_texanus",253,489,484,800
"Tsunyidiscus_longquanensis",211,356,379,246
"Wanneria_walcottana",343,615,639,489
"Wanshania_wanshanensis",152,293,278,307
"Xingrenaspis_xingrenensis",242,523,467,442
"Xystridura_templetonensis",346,541,489,741
"Yunnanocephalus_yunnanensis",199,298,352,161
"Zhangshania_typica",142,254,226,390
